"AccidentYear","Latest","Ultimate","Reserve_IBNR","ELR"
"AY2016",19784168,19784168,0,0.6595
"AY2017",21638383,22515152,876768,0.7148
"AY2018",18264140,20219667,1955527,0.6113
"AY2019",20633475,24018923,3385448,0.6916
"AY2020",15618455,20637200,5018744,0.5659
"AY2021",19625626,26657881,7032255,0.6962
"AY2022",19994860,29531469,9536609,0.7346
"AY2023",18774748,31617924,12843177,0.749
"AY2024",11194844,28090695,16895851,0.6338
"AY2025",8182589,30547456,22364866,0.6564
"TOTAL",173711288,253620534,79909246,0.6721
